AC,AF,AR,AS,AY,A_Goal_Dif,A_Shots_Faced,A_Shots_Total,Average_away_points,Average_home_points,Away_points,Away_points_elo,FTAG,FTHG,FTR,HC,HF,HR,HS,HY,H_Goal_Dif,H_Shots_Faced,H_Shots_Total,Home_points,Home_points_elo,Season,away_streak_away_team,away_streak_home_team,home_streak_away_team,home_streak_home_team,FTR_H_score,FTR_A_score,FTR_D_score
3,11,0,11,2,1,3.4833333333333334,6.416666666666667,1.75,1.25,7,1022.9491393974865,0,4,H,4,19,0,13,4,1,3.8166666666666673,6.083333333333334,5,1095.7856228121307,2019-2020,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.75104045867919922,0.1061498299241066,0.14280968904495239
4,15,0,13,1,1,2.105059523809524,3.8404761904761906,1.5714285714285714,1.0,11,1103.7641430538922,4,1,A,3,8,0,10,0,-4,1.5836557539682539,2.669246031746032,7,985.6158251637555,2019-2020,0.5,0.5,0.3333333333333333,0.1111111111111111,0.14878736436367035,0.68978011608123779,0.16143256425857544
6,9,0,12,2,-28,0.5665144503432316,0.46331790755109425,0.6666666666666666,0.8571428571428571,14,921.9222745866582,1,2,H,2,5,0,11,1,-21,0.5365368247972552,0.8038101455396154,18,968.6165739718941,2018-2019,0.044444444444444446,0.17777777777777778,0.5333333333333333,0.26666666666666666,0.45888519287109375,0.25437366962432861,0.28674110770225525
5,6,0,10,2,1,1.5100446428571428,2.080357142857143,1.5714285714285714,1.7142857142857142,11,1028.6179724127448,0,1,H,14,12,0,12,1,1,1.7519345238095239,2.0154761904761904,12,1104.5418917156892,2019-2020,0.6666666666666666,0.5,0.36666666666666664,0.7777777777777778,0.60352241992950439,0.13762792944908142,0.2588496208190918
10,8,0,25,0,1,2.6242102072310405,1.2421020723104057,1.6666666666666667,1.2222222222222223,15,1002.2195166865145,0,1,H,1,11,0,2,3,-3,0.30255787037037035,1.0255787037037036,11,1006.2019065513357,2018-2019,0.4666666666666667,0.13333333333333333,0.5333333333333333,0.6,0.36039012670516968,0.33450916409492493,0.3051007091999054
13,10,0,24,1,49,0.6853686481565848,0.6732713336370538,2.657142857142857,1.4285714285714286,93,1268.1951466883208,1,2,H,2,14,0,3,3,7,0.09391351665912369,0.38088659972845296,50,1074.5485911171786,2019-2020,0.4666666666666667,0.3333333333333333,0.9555555555555556,0.9555555555555556,0.17455939948558807,0.62261855602264404,0.20282196998596191
3,17,0,14,2,-7,1.7315173059964726,1.5836557539682539,0.875,1.25,7,977.9851867977545,1,1,D,1,10,0,4,3,0,0.5591931216931216,1.0327380952380953,10,1030.6799616503367,2019-2020,0.5,0.3,0.1,0.3333333333333333,0.62022489309310913,0.22954665124416351,0.15022842586040497
1,10,0,8,2,65,0.24170788412250543,0.45977594428769,2.5294117647058822,1.8823529411764706,86,1239.501299711729,2,0,A,1,10,0,12,2,15,0.3491105437747244,0.2188690321153531,64,1137.3340038352621,2018-2019,0.6666666666666666,0.6,1.0,0.6,0.35968193411827087,0.41766181588172913,0.22265625
6,6,0,15,0,17,0.44088482378623056,0.43096883251807083,1.7647058823529411,1.5,60,1107.674364479997,0,3,H,4,8,0,9,1,2,0.2632855366361812,0.2149937822663428,51,1041.373335644995,2019-2020,0.4666666666666667,0.4444444444444444,0.6666666666666666,0.8222222222222222,0.21588097512722015,0.60364013910293579,0.18047884106636047
1,7,0,7,2,40,0.3711720907790745,0.7946139063605644,2.7,2.35,54,1219.658019811939,1,2,H,2,12,0,9,4,38,0.46342119289390865,0.7318450507720823,47,1213.0663974796578,2018-2019,0.7777777777777778,0.6666666666666666,1.0,0.9333333333333333,0.44176802039146423,0.38596415519714355,0.17226780951023102
2,8,0,4,1,17,0.18598083631387602,0.6495209078469003,1.9583333333333333,2.3333333333333335,47,1125.4913199879873,1,3,H,4,11,0,19,1,44,0.7809501430210569,0.5237535755264241,56,1214.6406167865346,2018-2019,0.17777777777777778,0.3333333333333333,1.0,0.8,0.80038374662399292,0.071427963674068451,0.12818828225135803
6,9,0,19,1,-7,0.7957569217642093,0.893923044105234,1.0416666666666667,0.9583333333333334,25,979.6664564971093,3,3,D,4,8,0,12,1,-13,0.4921421887202515,0.30355471800628714,23,980.7266639941388,2019-2020,0.4222222222222222,0.26666666666666666,0.37777777777777777,0.24444444444444444,0.35179656744003296,0.36165839433670044,0.28654506802558899
6,17,0,12,2,-8,0.8597297963953056,0.8959469459295848,1.0,2.857142857142857,14,991.2419778423315,2,5,H,5,13,0,11,1,20,0.8095993996832703,1.1439909952490557,40,1246.292027812791,2019-2020,0.13333333333333333,0.8666666666666667,0.24444444444444444,1.0,0.85514813661575317,0.054438013583421707,0.090413786470890045
