AC,AF,AR,AS,AY,A_Goal_Dif,A_Shots_Faced,A_Shots_Total,Average_away_points,Average_home_points,Away_points,Away_points_elo,FTAG,FTHG,FTR,HC,HF,HR,HS,HY,H_Goal_Dif,H_Shots_Faced,H_Shots_Total,Home_points,Home_points_elo,Season,away_streak_away_team,away_streak_home_team,home_streak_away_team,home_streak_home_team,FTR_H_score,FTR_A_score,FTR_D_score
2,5,0,5,0,-28,0.21707658554301396,0.426914638575349,0.4583333333333333,1.9583333333333333,11,894.51895300082,0,5,H,11,8,0,23,0,17,0.9393110654514275,0.48277663628569,47,1140.704471791342,2018-2019,0.022222222222222223,0.8,0.0,0.7111111111111111,0.83076274394989014,0.05755147710442543,0.11168572306632996
4,8,0,13,2,11,0.6268282540730546,0.7902215896072007,1.8095238095238095,2.2857142857142856,38,1126.4359118210057,1,0,A,7,8,0,21,1,25,0.983828862399898,0.6442349727977534,48,1164.1640797191405,2018-2019,0.28888888888888886,0.7333333333333333,0.6,0.9333333333333333,0.65725541114807129,0.15293547511100769,0.18980911374092102
2,17,0,8,2,-4,1.0255787037037036,1.2302083333333333,1.0,0.25,8,996.775126633188,1,0,A,10,13,0,27,0,-7,3.1948660714285717,1.753794642857143,2,949.7160706806113,2018-2019,0.06666666666666667,0.2,0.6,0.0,0.47131034731864929,0.23388823866844177,0.29480141401290894
3,9,0,12,1,-13,0.3322529619541748,0.2933595923044678,1.0277777777777777,1.7222222222222223,37,981.0003577420745,1,1,D,2,10,0,11,3,28,0.31024086329527983,0.4789119419253529,62,1103.848732366963,2019-2020,0.1111111111111111,0.6,0.6,0.9555555555555556,0.69840800762176514,0.11279383301734924,0.18879814445972443
8,8,0,14,0,11,0.4001473358798218,0.40530409167358533,1.5714285714285714,1.4285714285714286,55,1063.4196348278247,1,1,D,3,10,0,9,0,-8,0.2549551956051209,0.17838704178435275,50,1022.309093703315,2019-2020,0.7111111111111111,0.4666666666666667,0.6888888888888889,0.6,0.25180473923683167,0.46102556586265564,0.28716966509819031
1,6,0,6,3,-24,0.23045753300512775,0.22235339113844954,0.6923076923076923,1.3846153846153846,18,923.3575718651389,0,3,H,4,11,0,19,2,3,0.7258935592844354,0.5991261006797589,36,1050.9762829433676,2019-2020,0.13333333333333333,0.4888888888888889,0.28888888888888886,0.35555555555555557,0.75348585844039917,0.096957601606845856,0.1495564877986908
4,8,0,12,1,-2,8.0,12.0,0.5,0.0,1,1020.4293011941866,2,4,H,6,11,0,25,2,-4,12.5,12.5,0,950.7504332245392,2018-2019,0.3333333333333333,0.0,0.0,0.0,0.40406286716461182,0.30498111248016357,0.29095596075057983
6,8,0,13,2,-6,1.753794642857143,1.030357142857143,0.2857142857142857,1.4285714285714286,2,956.5854974299484,2,3,H,10,16,0,18,2,-2,2.4654017857142856,1.7232142857142858,10,1101.0841613815887,2018-2019,0.2222222222222222,0.5,0.0,0.5555555555555556,0.75429022312164307,0.10521170496940613,0.14049802720546722
3,9,0,12,3,-14,0.4596279225185519,0.40995390800090026,1.0,1.3076923076923077,26,974.2087580038763,0,3,H,7,9,0,16,4,-9,0.6062805403167565,0.3695745885524259,34,1004.3736628418952,2019-2020,0.3333333333333333,0.5333333333333333,0.28888888888888886,0.4888888888888889,0.49344620108604431,0.22473645210266113,0.28181734681129456
6,8,0,12,1,-4,1.1762873777457112,2.115448532948533,1.0,0.5454545454545454,11,989.4329388907316,1,1,D,5,9,0,15,1,-16,1.3369169434924644,1.0430033219095718,6,935.4630787559321,2018-2019,0.2222222222222222,0.13333333333333333,0.35555555555555557,0.17777777777777778,0.42465576529502869,0.26662623882293701,0.3087179958820343
8,10,0,7,3,-15,0.2642338207816528,0.13431316110462505,0.9230769230769231,2.923076923076923,24,978.0648853789422,2,3,H,16,4,0,25,0,46,0.9510864153690866,0.6793332149653372,76,1280.5914517996569,2019-2020,0.3333333333333333,1.0,0.35555555555555557,1.0,0.82812803983688354,0.064117431640625,0.10775451362133026
